Name,Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,User_Score
Burnout Paradise,PS3,2008,Racing,1.94,87,7.7
Who wants to be a millionaire,PC,1999,Misc,1.94,,tbd
Alleyway,GB,1989,Puzzle,1.94,,
Scooby Doo and the Cyber Chase,PS,2001,Adventure,1.94,,7.4
The Sims 3,PS3,2010,Simulation,1.94,78,6.4
FIFA Soccer 09,X360,2008,Sports,1.94,87,8
Dragon Ball Z: Budokai 3,PS2,2004,Fighting,1.94,77,8.9
Call of Duty: World at War,Wii,2008,Shooter,1.94,83,7.6
Jet Moto 2,PS,1997,Racing,1.94,,
Tom Clancy's Ghost Recon,PS2,2002,Shooter,1.94,63,8.3
BioShock Infinite,X360,2013,Shooter,1.93,93,8.5
X-Men Legends,PS2,2004,Role-Playing,1.93,79,8.5
Mortal Kombat II,SNES,1993,Fighting,1.93,,
Virtua Fighter 2,SAT,1995,Fighting,1.93,,
Mortal Kombat vs. DC Universe,X360,2008,Fighting,1.93,72,7.5
Destiny: The Taken King,PS4,2015,Shooter,1.93,86,6
Tetris DX,GB,1998,Puzzle,1.93,,
The Legend of Zelda: Oracle of Ages,GB,2001,Action,1.92,,
Destiny,X360,2014,Shooter,1.92,,4.7
Red Faction,PS2,2001,Shooter,1.92,88,8
The Sims: Makin' Magic,PC,2003,Simulation,1.92,80,8.6
Mario Party: Island Tour,3DS,2013,Misc,1.92,57,6.3
MX Unleashed,PS2,2004,Racing,1.92,80,9.2
PaRappa The Rapper,PS,1996,Misc,1.92,92,7.4
Guitar Hero: World Tour,PS3,2008,Misc,1.92,84,7.5
Need for Speed: Shift,X360,2009,Racing,1.91,83,6.5
Mario Party 3,N64,2000,Misc,1.91,,
Diablo III,PS3,2013,Role-Playing,1.91,86,6.4
LittleBigPlanet 3,PS4,2014,Platform,1.91,79,7.1
Star Wars Rogue Leader: Rogue Squadron II,GC,2001,Simulation,1.9,90,8.6
Tomb Raider (2013),X360,2013,Action,1.89,,
Mario Super Sluggers,Wii,2008,Sports,1.89,69,7.8
Donkey Kong Country Returns,3DS,2013,Platform,1.89,,
Monopoly,Wii,2008,Misc,1.89,70,7.8
Madden NFL 09,PS3,2008,Sports,1.88,85,4.4
Batman: Arkham Origins,X360,2013,Action,1.88,74,7.5
Game Party 2,Wii,2008,Misc,1.88,29,4.6
Yu-Gi-Oh! Forbidden Memories,PS,1999,Role-Playing,1.88,,
Mortal Kombat: Deception,PS2,2004,Fighting,1.88,81,8.5
Hot Shots Golf 2,PS,1999,Sports,1.88,,
Medal of Honor: European Assault (All Region sales),PS2,2005,Shooter,1.88,,
NBA 2K17,PS4,2016,Sports,1.88,88,6.7
Toy Story Mania!,Wii,2009,Misc,1.88,49,6.6
WCW Nitro,PS,1998,Fighting,1.88,,
High School Musical: Sing It!,PS2,2007,Misc,1.87,,
Star Fox Adventures,GC,2002,Adventure,1.87,82,7.7
FIFA 2000,PS,1998,Sports,1.87,,
Madden NFL 25,PS3,2013,Sports,1.87,76,4.1
Dynasty Warriors 3,PS2,2001,Action,1.87,78,9.1
The Legend of Zelda: Oracle of Seasons,GB,2001,Adventure,1.86,,
Ratchet & Clank Future: A Crack in Time,PS3,2009,Platform,1.86,,
Madden NFL 06,XB,2005,Sports,1.86,86,6.7
Shrek 2,PS2,2004,Platform,1.86,71,8.5
Turok 2: Seeds of Evil,N64,1997,Platform,1.86,,
The Legend of Dragoon,PS,1999,Role-Playing,1.86,74,8.4
SingStar,PS2,2004,Misc,1.86,,
Star Wars: The Force Unleashed,Wii,2008,Action,1.86,71,7.9
NBA Live 2002,PS2,2001,Sports,1.86,70,7.4
Just Cause 3,PS4,2015,Action,1.86,73,6.5
Chrono Cross,PS,1999,Role-Playing,1.86,94,8.1
Jak 3,PS2,2004,Platform,1.85,84,8.6
Kingdom Hearts: Chain of Memories,GBA,2004,Role-Playing,1.85,76,7.9
Pinball,NES,1984,Action,1.85,,
Max Payne 3,PS3,2012,Shooter,1.85,87,7.8
Gran Turismo Concept 2001 Tokyo,PS2,2001,Racing,1.84,,
LEGO Marvel Super Heroes,PS3,2013,Action,1.84,82,7.9
Phineas and Ferb,DS,2009,Action,1.84,80,4.5
NCAA Football 06,PS2,2005,Sports,1.84,87,8.5
"Hey You, Pikachu!",N64,1998,Simulation,1.83,,
Rayman Raving Rabbids 2,Wii,2007,Misc,1.83,67,8.3
2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005,Misc,1.83,,
Jet Moto,PS,1996,Racing,1.83,,
Kirby: Triple Deluxe,3DS,2014,Platform,1.83,80,8.8
Secret of Mana,SNES,1993,Role-Playing,1.83,,
GoldenEye 007 (2010),Wii,2010,Action,1.83,,
Sonic Classic Collection,DS,2010,Platform,1.83,70,7.5
Air Combat,PS,1995,Simulation,1.83,,
Diablo III,PS4,2014,Role-Playing,1.82,,
inFAMOUS 2,PS3,2011,Action,1.82,83,8.4
World of Warcraft: Mists of Pandaria,PC,2012,Role-Playing,1.82,82,4.8
Sonic & Knuckles,GEN,1994,Platform,1.82,,
Namco Museum,PS2,2001,Misc,1.82,72,6
The Sims: Hot Date,PC,2001,Simulation,1.82,85,7.9
Demon's Souls,PS3,2009,Role-Playing,1.82,89,8.9
The Orange Box,X360,2007,Shooter,1.82,96,8.9
DDRMAX2: Dance Dance Revolution,PS2,2003,Simulation,1.81,82,8.2
Crazy Taxi,DC,2000,Racing,1.81,,
Virtua Fighter 4,PS2,2002,Fighting,1.81,94,8
Mafia III,PS4,2016,Action,1.81,68,5.1
Sly 2: Band of Thieves,PS2,2004,Platform,1.81,88,9
Guitar Hero: World Tour,PS2,2008,Misc,1.8,,8
Sonic Advance 2,GBA,2002,Platform,1.8,83,8.3
Madden NFL 07,X360,2006,Sports,1.8,80,6
NFL GameDay 2000,PS,1999,Sports,1.8,,
NBA 2K11,PS3,2010,Action,1.8,89,7.6
Forza Motorsport 6,XOne,2015,Racing,1.8,87,7.9
The Evil Within,PS4,2014,Action,1.79,75,7.3
Metroid Prime 3: Corruption,Wii,2007,Shooter,1.79,90,8.9
The Legend of Zelda: The Wind Waker,WiiU,2013,Action,1.79,,
Disney's The Lion King,SNES,1994,Platform,1.79,,
Professor Layton and the Mask of Miracle,3DS,2011,Puzzle,1.79,,
Midnight Club II,PS2,2003,Racing,1.78,85,8.5
SpongeBob SquarePants: SuperSponge,PS,2001,Action,1.78,,
The Getaway: Black Monday,PS2,2004,Action,1.78,57,7.6
50 Cent: Bulletproof,PS2,2005,Action,1.77,47,6.6
Final Fantasy II,SNES,1991,Role-Playing,1.77,,
Kirby 64: The Crystal Shards,N64,2000,Platform,1.77,,
Dead or Alive 3,XB,2001,Fighting,1.77,87,8.6
Dragon Quest Monsters: Joker,DS,2006,Role-Playing,1.76,75,7.4
LEGO Star Wars III: The Clone Wars,Wii,2011,Action,1.76,76,7.7
High School Musical: Sing It!,Wii,2007,Misc,1.76,,
Metroid II: Return of Samus,GB,1991,Adventure,1.76,,
WWF Attitude,PS,1998,Fighting,1.76,,
UFC 2009 Undisputed,PS3,2009,Fighting,1.76,84,8.1
The SpongeBob SquarePants Movie,PS2,2004,Platform,1.76,75,9
Golden Sun,GBA,2001,Role-Playing,1.76,91,9.3
Sonic the Hedgehog 3,GEN,1994,Platform,1.76,,
Kid Icarus,NES,1986,Platform,1.76,,
