value,category,name
151562,Crafts,Don't Starve Chester Plush
107622,Product Design,"Dispatch: The Internet, Faster."
222572,Tabletop Games,Battlestations: Second Edition! Tabletop Starship Simulator
187058,DIY Electronics,nScope | a lab for every laptop
318877,Camera Equipment,Lumu Power - a Light Meter for the Future.
129640,Tabletop Games,Tenra Bansho Zero - An Art and Culture-Rich RPG from Japan
85564,Product Design,WTF - Mini Titanium Keychain
48958,Product Design,Ringtool - The World's Most Compact Multi-tool
127537,Hardware,BrickPi: LEGO\xae Bricks with a Raspberry Pi Brain
146011,Comics,Erfworld: Print Book 2 & Draw Book 3
94904,Product Design,iceScreen ~ The Magnetic Ice Shield
162023,Technology,Luxor - World's First Digital Focusing Flashlight with OLED
50891,Web,"Bellingcat, for and by citizen investigative journalists"
114139,Art Books,"Character Design with Silver, A Drawing Guide Book"
547506,Product Design,The World's First Duffle Suitcase: Premium Bag | 19 Features
157840,Design,Tactile Turn Slider & Glider - Simply the best bolt action.
50871,Tabletop Games,'Quicksilver' Playing Cards Deck
58776,Video Games,"InSomnia (PC, Mac, Linux)"
36993,Product Design,The Sabertooth. The Ultimate Beer Drinker's Tool.
649244,Product Design,"The most affordable, automatic sit-to-stand desk."
100433,Tabletop Games,Car Wars Classic Arenas
75690,Public Art,Occupy Wall Street Media
187667,Product Design,"Code 10 - Waterproof, Theft-Proof, Tech-Ready Backpacks"
74131,Graphic Novels,Tuskegee Heirs
201259,Documentary,SHARKWATER: EXTINCTION
154297,Tabletop Games,Fantasy Coins and Bars
48835,Product Design,"MySaver: protection for your iPad, iPhone, and iPod cables"
454976,Hardware,WigWag:\nAutomatic Starts Here
67619,Product Design,FLECTR 1.0 - the ultra performance wheel reflector
116757,Tabletop Games,Assault on Doomrock - Doompocalypse
100710,Hardware,Espruino: JavaScript for Things
133684,Documentary,Fantastic Fungi - a film by Louie Schwartzberg
86308,Tabletop Games,Obsidian Portal Reforged
151436,Hardware,AnyMote Home + Your Phone = The Ultimate Universal Remote
73621,Tabletop Games,March of the Ants
30480,Video Games,Risk of Rain
1781736,Tabletop Games,Dwarven Forge's Castles: 3-D Modular Terrain for Gamers
91154,Poetry,A Bruise On Light
124357,Product Design,Elevation Stand: Best Stand for iMac & Apple Displays
57697,Product Design,RMDLO - A Revolution in Kitchen Utensils!
65420,Publishing,Made with Creative Commons: A book on open business models
66694,Video Games,Retro Game Crunch \u2022 Six Games in Six Months
81407,Fashion,A Better Backpack: Sustainable Design - Sustainable Future
80820,Tabletop Games,King's Forge
92025,Documentary,All Things Must Pass: The Rise and Fall of Tower Records
114000,Documentary,BREXIT THE MOVIE
77888,Music,Julia Nunes would be nothing without me
104008,Product Design,Nova Minimal Fountain Pen
183853,Tabletop Games,DreadBall - The Futuristic Sports Game 2
218114,Tabletop Games,Fleet Commander - Genesis
30484,Product Design,Smarter Stand for iPhone and iPod touch
105717,Video Games,Shards Online: Play by your rules
238498,Gaming Hardware,GCW-Zero: Open Source Gaming Handheld
103070,Product Design,Drawstring Backpack. The Most Advanced.
57774,Tabletop Games,Marrying Mr. Darcy - the Pride and Prejudice Card Game
84811,Tabletop Games,In the Name of Odin
70328,Webseries,Put This On: Season Two
54509,Product Design,"Tidashi, a titanium mini knife"
85284,Playing Cards,Collectors Bicycle\xae Playing Cards Deck
74007,Webcomics,Unsounded Comic Volume 2
99000,Fashion,Frank Anthony: Shorts That Don't Get Wet
456953,3D Printing,"iBox Nano - Worlds Smallest, Least Expensive 3D Printer"
120599,Gadgets,SunPort\u2122 \u2013 Demand Solar. Anywhere. Instantly.
126220,Film &amp; Video,Improv Everywhere Film
55629,Tabletop Games,Microscope Explorer
22347,Product Design,"JUICIES - Colorful Cables for iPod, iPhone & iPad"
606622,Camera Equipment,Waylens - A Data Driven Automotive Camera System
84021,Tabletop Games,The King's Abbey: A Strategic Abbey Building Game
55266,Music,VULFPECK /// Thrill of the Arts
200819,Gadgets,Shoka Bell: The Ultimate City Cycling Tool
131939,Hardware,Prelude - The Next Generation Portable Wireless Charger
55664,Anthologies,Cautionary Fables and Fairy Tales: Asia Edition
428853,Animation,Implosion: ZERO_DAY
34133,Web,Prototypo |\xa0Streamlining font creation
96891,Art Books,Fall of Gods
28485,Video Games,Black The Fall
65238,Product Design,"The Square, by Clean Bottle"
71834,Vegan,Vegan Black Metal Chef: The Seitanic Spellbook
108392,Tabletop Games,Among the Stars: Revival
30740,Video Games,Quiplash - An Outrageous New Party Game
108747,Tabletop Games,The Red Dragon Inn: Battle for Greyport
136361,Tabletop Games,"Chaosmos: As the Universe Ends, the Hunt Begins!"
36621,Tabletop Games,Rahdo Runs Through... YEAR FOUR!
67677,Tabletop Games,World Championship Russian Roulette by Anthony Burch
75938,Web,Massively Overpowered
148885,Product Design,"Higher Hangers: Space-Saving Design, 100% Classic Utility"
35994,Video Games,"Hypnospace Outlaw for PC/MAC/LINUX, by the creator of Dropsy"
324947,Camera Equipment,solidLUUV: The All-In-One Camera Stabilizer
127407,Tabletop Games,Cast Metal Gaming Dice
79465,Tabletop Games,GOLD Bicycle\xae Playing Cards Deck
229517,Gadgets,"Lume Cube - Flash & Video Light for GoPro, iPhone & Android"
275882,Technology,"LIGHTFREQ:""The lovechild of Philips hue and Jambox"" BOOM"
75049,Tabletop Games,One Million Bicycle\xae Playing Cards Deck
